1246,Rocky Balboa
429200,Good Time
196867,Annie
395834,Wind River
503346,Occupation
561,Constantine
437586,Mid90s
399057,The Killing of a Sacred Deer
446791,All the Money in the World
13885,Sweeney Todd: The Demon Barber of Fleet Street
301337,Downsizing
82695,Les Misérables
484638,15 Minutes of War
4982,American Gangster
75780,Jack Reacher
924,Dawn of the Dead
142,Brokeback Mountain
433498,Papillon
443463,Leave No Trace
8321,In Bruges
345934,Air Strike
1164,Babel
171274,Inherent Vice
492616,Luce
381289,A Dog's Purpose
20662,Robin Hood
293863,The Age of Adaline
76203,12 Years a Slave
249397,Nymphomaniac: Vol. II
403119,47 Meters Down
363676,Sully
45317,The Fighter
524348,The Report
470229,Summer of 84
502682,Book Club
244761,The Captive
489929,Destination Wedding
5915,Into the Wild
483184,Dogman
274479,Joy
122906,About Time
12162,The Hurt Locker
97367,The Place Beyond the Pines
290098,The Handmaiden
385332,Terminal
31011,Mr. Nobody
152532,Dallas Buyers Club
500852,Miss Bala
12405,Slumdog Millionaire
418827,Sister's Younger Husband
110415,Snowpiercer
388,Inside Man
652,Troy
261470,Sorry If I Call You Love
339988,The Circle
491622,Manikarnika
39254,Real Steel
487670,The Death of Superman
311291,45 Years
1640,Crash
83542,Cloud Atlas
4348,Pride & Prejudice
24253,The Girl Who Played with Fire
493551,Operation Finale
137094,Jack Ryan: Shadow Recruit
19913,(500) Days of Summer
290595,The Huntsman: Winter's War
465136,Every Day
13811,Knowing
45269,The King's Speech
565307,Clemency
75174,The Grey
399404,Darkest Hour
23168,The Town
395992,Life
372343,The Snowman
400710,Flatliners
565377,Mope
432301,Chappaquiddick
393519,Raw
8456,Never Back Down
445954,Acts of Vengeance
68730,Silence
419831,I Kill Giants
289222,The Zookeeper's Wife
530081,The Man Who Killed Hitler and Then the Bigfoot
4944,Burn After Reading
20766,The Road
369885,Allied
343674,Gerald's Game
227306,Unbroken
300671,13 Hours: The Secret Soldiers of Benghazi
85350,Boyhood
7220,The Punisher
575337,Symphony No. 9
505192,Shoplifters
13374,Ice Princess
16995,State of Play
302156,Criminal
121046,Eternity
293768,Kidnap
